@relation ActivityClassification

@attribute acc_z numeric
@attribute acc_y numeric
@attribute acc_x numeric
@attribute class { not_legslide, legslide}

@data
-0.19,-4.75,-0.38,not_legslide
-0.06,-3.25,-0.81,not_legslide
-0.62,-4.25,-1.06,not_legslide
-0.44,-5.69,-0.88,not_legslide
-0.25,-3.44,-1.00,not_legslide
-0.56,-3.44,-1.00,not_legslide
-0.88,-6.38,-0.12,not_legslide
-0.31,-6.38,-0.12,not_legslide
-0.31,-4.50,-0.62,not_legslide
0.00,-3.06,-0.50,not_legslide
-0.62,-3.81,-0.88,not_legslide
-0.88,-5.88,-0.94,not_legslide
-0.44,-5.44,-0.44,not_legslide
-0.31,-3.44,-0.75,not_legslide
-1.00,-4.75,-0.62,not_legslide
-0.31,-5.75,-0.25,not_legslide
-0.31,-4.31,-0.56,not_legslide
-0.12,-2.94,-0.56,not_legslide
-0.38,-4.00,-1.50,not_legslide
-0.69,-6.12,-0.69,not_legslide
-0.81,-3.75,-0.94,not_legslide
-0.56,-6.38,-0.31,not_legslide
-0.44,-5.19,-0.69,not_legslide
-0.12,-3.12,-0.62,not_legslide
-0.38,-3.25,-0.94,not_legslide
-0.19,-4.00,-0.88,not_legslide
-0.94,-5.06,-1.00,not_legslide
-0.38,-5.56,-0.12,not_legslide
-0.50,-3.19,-1.00,not_legslide
-0.56,-4.94,-0.75,not_legslide
-0.62,-4.50,-0.75,not_legslide
-0.31,-3.94,0.00,not_legslide
-0.31,-3.06,-0.81,not_legslide
-0.94,-5.00,-0.94,not_legslide
-0.38,-5.75,-0.12,not_legslide
-0.31,-3.69,-0.31,not_legslide
-0.81,-3.69,-0.31,not_legslide
-0.38,-4.88,-0.88,not_legslide
-0.19,-4.88,-0.88,not_legslide
-0.94,-3.50,-1.06,not_legslide
-0.44,-3.94,2.81,not_legslide
-0.38,-4.75,-0.44,not_legslide
-0.38,-3.50,-0.69,not_legslide
-0.56,-5.00,-0.62,not_legslide
-0.69,-5.88,-0.44,not_legslide
-0.88,-4.12,-0.12,not_legslide
-0.81,-3.25,-1.19,not_legslide
-1.38,-4.81,-0.25,not_legslide
-0.69,-5.62,0.75,not_legslide
-0.44,-4.25,-0.50,not_legslide
-0.31,-3.00,-0.88,not_legslide
-0.25,-4.06,-1.12,not_legslide
-0.75,-6.19,-0.88,not_legslide
-0.31,-4.88,-0.25,not_legslide
-1.00,-3.19,-1.06,not_legslide
-0.81,-5.62,-0.12,not_legslide
-0.50,-5.38,-1.00,not_legslide
-0.69,-3.00,-0.75,not_legslide
-0.69,-3.62,-0.94,not_legslide
-0.81,-5.94,-0.81,not_legslide
-0.75,-4.94,-0.62,not_legslide
-0.75,-3.31,-0.81,not_legslide
-0.94,-4.06,-0.94,not_legslide
-0.69,-6.19,-0.50,not_legslide
-0.44,-4.44,-0.94,not_legslide
-0.50,-2.56,-0.38,not_legslide
-0.81,-3.38,-1.00,not_legslide
-0.81,-5.62,-0.94,not_legslide
-0.75,-6.12,-0.50,not_legslide
-0.44,-4.62,-1.00,not_legslide
-0.88,-4.62,-1.00,not_legslide
-0.88,-6.12,-0.44,not_legslide
-0.81,-6.12,-0.44,not_legslide
-0.44,-3.88,-1.00,not_legslide
-0.38,-2.75,-0.50,not_legslide
-0.81,-3.62,-1.75,not_legslide
-1.38,-5.88,-0.25,not_legslide
-0.75,-4.12,-0.88,not_legslide
-0.94,-3.75,-0.94,not_legslide
-0.69,-5.19,-0.69,not_legslide
-0.19,-4.50,-0.94,not_legslide
-0.31,-3.06,-1.00,not_legslide
-0.38,-3.06,-0.75,not_legslide
-0.88,-6.00,-1.00,not_legslide
-0.19,-3.75,-0.94,not_legslide
-0.56,-3.31,-1.31,not_legslide
-1.12,-5.50,-1.12,not_legslide
-0.94,-4.44,-0.94,not_legslide
-1.19,-6.12,-0.25,not_legslide
-0.69,-5.81,-0.81,not_legslide
-0.81,-5.19,-0.50,not_legslide
-0.25,-3.50,-0.50,not_legslide
-0.19,-2.94,-0.50,not_legslide
-0.69,-4.56,-0.94,not_legslide
-0.88,-6.19,-0.94,not_legslide
-0.50,-4.81,-1.06,not_legslide
-0.25,-3.56,-1.06,not_legslide
-0.88,-3.56,-1.31,not_legslide
-0.94,-6.44,-0.06,not_legslide
-0.94,-6.44,-0.06,not_legslide
-0.25,-5.19,-0.31,not_legslide
-0.12,-3.25,-0.56,not_legslide
-0.25,-3.31,-0.88,not_legslide
-0.88,-3.12,-0.94,not_legslide
3.88,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,-0.06,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.88,0.00,0.25,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.12,not_legslide
3.88,0.00,0.12,not_legslide
3.88,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.88,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.88,0.00,0.19,not_legslide
3.88,0.00,0.19,not_legslide
3.88,0.06,0.19,not_legslide
3.88,0.06,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.88,0.00,0.19,not_legslide
3.88,0.00,0.19,not_legslide
3.88,0.06,0.19,not_legslide
3.94,0.06,0.12,not_legslide
3.88,0.00,0.25,not_legslide
3.94,0.00,0.19,not_legslide
3.88,-0.06,0.19,not_legslide
3.94,0.06,0.19,not_legslide
4.00,0.00,0.25,not_legslide
3.94,-0.06,0.19,not_legslide
3.88,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.88,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
4.00,0.00,0.25,not_legslide
3.88,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.88,-0.06,0.12,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.81,0.00,0.19,not_legslide
3.94,0.00,0.12,not_legslide
3.94,0.00,0.12,not_legslide
3.94,0.00,0.12,not_legslide
3.94,0.00,0.12,not_legslide
3.88,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.88,0.00,0.25,not_legslide
3.94,0.00,0.19,not_legslide
3.94,-0.06,0.25,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.19,not_legslide
3.94,0.00,0.12,not_legslide
3.94,0.00,0.19,not_legslide
4.00,-0.06,0.19,not_legslide
3.88,0.00,0.19,not_legslide
3.88,0.06,0.12,not_legslide
3.94,0.00,0.19,not_legslide
3.88,0.06,0.19,not_legslide
